,gene,importance
4805,Eno1,0.0004433868577253742
5296,Fbln7,0.0004392200966689516
10956,Osr1,0.00042936074729999835
949,Acan,0.00042624847026614216
8571,Kazald1,0.0004213870555624148
3439,Col11a1,0.0004178200202235902
9004,Limch1,0.00040876435883269977
10899,Olfml3,0.0004083640251865509
4488,Dynll1,0.0004080665803777217
7630,H19,0.00040421500819312373
10652,Npm1,0.0004003572435822308
5171,Fam20c,0.000399814861289446
9595,Mef2c,0.0003788918874658165
13674,Serpinf1,0.0003675080614040977
15626,Top2a,0.0003612824577707667
1006,Actb,0.0003571797251432648
15968,Tubb2a,0.00035196739125223885
10169,Myl12a,0.00033262770372234813
10898,Olfml2b,0.0003186664167835838
8019,Hp,0.0002915329373731243
9774,Mki67,0.00028986115033698736
68,1500015O10Rik,0.0002814251833972651
3474,Col8a1,0.0002808026720079182
329,2810417H13Rik,0.00028009961515741515
10247,Naca,0.0002756088447556845
2373,C1qtnf3,0.00027229050998078434
9469,Matn3,0.0002642814348202498
7323,Gnb2,0.0002602626658127102
4015,Dcn,0.0002574284695913494
8969,Lgals1,0.0002532519253638869
3258,Cks2,0.0002481888271781283
9597,Meg3,0.0002457915177530459
8219,Igfbp5,0.00024410319575818147
7684,Hapln1,0.00023926906353554715
10708,Nrk,0.00023782029703362398
4937,Esm1,0.00023553788552729474
2875,Cd63,0.00022694756695526794
5287,Fau,0.00022633808059833687
1445,Anp32b,0.00022427867043715768
2841,Cd200,0.00022317367156715368
15531,Tmsb4x,0.00022204069081416876
13344,Runx2,0.00022027217774503178
15964,Tuba1b,0.00021855328974727817
15380,Tmem176b,0.00021591879328659256
15236,Timp2,0.00021572271602043655
12570,Ran,0.00021434420124777207
13110,Rpl32,0.00021083884691789584
12726,Rcn2,0.00020876585031024542
15176,Thbs2,0.00020628800766414344
8207,Igf1,0.00020264050510950365
14160,Slit2,0.00020151611579087849
3469,Col6a2,0.00019553624506967035
5297,Fbn1,0.00019243442798881594
3290,Clec11a,0.0001795714708763846
3495,Comp,0.00017621265586932047
11030,Paics,0.00017198093063161595
3629,Crip1,0.00017111957604726781
3466,Col5a2,0.0001709171116259002
3560,Cox8a,0.00017068468482666436
15963,Tuba1a,0.0001703033975264432
7475,Gpx3,0.00016862586257386492
14329,Snrpd2,0.00016842332569998487
9447,Marcks,0.0001604708476674558
5425,Fgfr3,0.0001573132336946394
2092,Bambi,0.00015664295411372295
10303,Nbl1,0.00015354981178120902
13231,Rps4x,0.0001531093593399411
8181,Ifitm3,0.00015152114136327414
8311,Impdh2,0.0001492561422650686
5506,Fmod,0.00014849475415729135
12279,Ptn,0.00014843287644063994
12277,Ptma,0.00014629406550980572
8997,Lifr,0.00014545078483491669
15973,Tubb5,0.00014542140027653524
10411,Neat1,0.00014146418415047593
2493,Calr,0.00014135027357794542
16442,Wasl,0.00013959944323490713
12147,Prrx2,0.0001390973719626485
14271,Snai2,0.00013778926637964626
11283,Pdgfa,0.00013654278003131365
2533,Capn6,0.00013642194806791087
13199,Rps19,0.000135879058300071
14431,Sp7,0.0001336101362346538
13174,Rps11,0.0001332627580195576
10776,Nucks1,0.0001322444013699584
3632,Crispld1,0.00013044100471730776
4027,Dctpp1,0.00013032875874201952
10835,Nupr1,0.00013005894183428464
3554,Cox6c,0.0001268419061200158
13523,Sdcbp,0.0001267668887797825
8947,Lef1,0.00012623229505100744
2482,Cald1,0.0001240981611816106
3561,Cp,0.0001240265432080382
9738,Mif,0.0001221267808459272
9335,Malat1,0.00012158010359873739
10713,Nrp2,0.00011993573829985408
13208,Rps20,0.00011695718391868697
16342,Vgll3,0.00011496039856487376
14206,Smc4,0.0001131616291198852
4593,Eef1a1,0.00011187953984448454
4886,Epyc,0.0001102523803324397
7659,H2afz,0.00011018939799862382
13675,Serping1,0.00011018910770645908
375,3110079O15Rik,0.00010960786800481648
11429,Phex,0.00010869907467413388
1385,Angptl7,0.00010733091555453947
15656,Tpm2,0.00010658573612662703
3746,Ctsb,0.00010609446676448685
3133,Chadl,0.00010603233414027341
2235,Bmp8a,0.0001050809805910675
8252,Il11ra1,0.00010362647917095057
178,1810058I24Rik,0.00010326623317216564
12602,Rarres2,0.00010051020072162897
13226,Rps3,9.941464331575696e-05
1965,B2m,9.92779149720795e-05
8180,Ifitm2,9.877809825579206e-05
1557,Arap2,9.866812103076427e-05
9245,Lum,9.825845795456809e-05
1386,Ank,9.791846627873515e-05
10888,Ogn,9.788645677659377e-05
3030,Cenpf,9.74699811402952e-05
10860,Oat,9.717810623264736e-05
7110,Gm567,9.654131652660973e-05
15868,Tspan13,9.633870493742373e-05
13187,Rps15a,9.630160905102603e-05
11732,Pmp22,9.609445216686168e-05
2188,Bglap3,9.590282097772934e-05
13204,Rps2,9.545331117913921e-05
10957,Osr2,9.536721499179475e-05
13076,Rpl18,9.449845470183024e-05
3509,Cops5,9.434376388303413e-05
2831,Cd109,9.427213344261809e-05
13915,Slc17a9,9.365022017785823e-05
5727,Gas1,9.355138043009277e-05
11858,Ppa1,9.288671410517642e-05
3442,Col13a1,9.26901621220571e-05
15965,Tuba1c,9.243172623942004e-05
