,0
700,Ifitm1
701,Ifitm3
702,Ifitm5
703,Igf1
704,Igf2
705,Igfbp2
706,Igfbp3
707,Igfbp4
708,Igfbp5
709,Igfbp6
710,Igfbp7
711,Igsf10
712,Igtp
713,Ihh
714,Iigp1
715,Il17b
716,Il1r1
717,Il1rl1
718,Il1rn
719,Il33
720,Il34
721,Il6
722,Il7
723,Ildr2
724,Incenp
725,Inhba
726,Insc
727,Insig1
728,Irf1
729,Irf7
730,Irf8
731,Irgm1
732,Irs2
733,Irx1
734,Irx3
735,Irx5
736,Isg15
737,Islr
738,Ism1
739,Itga1
740,Itga10
741,Itga8
742,Itga9
743,Itgbl1
744,Itih5
745,Itm2a
746,Jag1
747,Jam2
748,Jun
749,Junb
750,Kalrn
751,Kank1
752,Kazald1
753,Kcne4
754,Kcnj8
755,Kcnk1
756,Kcnk2
757,Kcnk3
758,Kcnq1ot1
759,Kctd12
760,Kdm6b
761,Kdm7a
762,Kera
763,Kif11
764,Kif15
765,Kif20a
766,Kif20b
767,Kif22
768,Kif23
769,Kit
770,Kitl
771,Klf10
772,Klf2
773,Klf4
774,Klf5
775,Klf6
776,Klhdc8b
777,Klhl24
778,Knstrn
779,Kpna2
780,Krt18
781,Krt19
782,Krtdap
783,Lama2
784,Lamb1
785,Lars2
786,Lbh
787,Lbp
788,Lcn2
789,Ldb2
790,Ldlr
791,Lect1
792,Lef1
793,Lepr
794,Lfng
795,Lgals1
796,Lgals3
797,Lgals7
798,Lgi1
799,Lgr4
800,Lgr5
801,Lhfpl2
802,Lhx2
803,Lif
804,Lifr
805,Lig1
806,Limch1
807,Lin7a
808,Lipc
809,Lix1
810,Lmcd1
811,Lmnb1
812,Lmod1
813,Lockd
814,Lox
815,Loxl1
816,Loxl2
817,Loxl3
818,Loxl4
819,Lpar4
820,Lpar6
821,Lpl
822,Lrig3
823,Lrp1b
824,Lrp4
825,Lrrc15
826,Lrrc17
827,Lrrn1
828,Lrrn4cl
829,Lsamp
830,Lsmem1
831,Lsp1
832,Ltbp1
833,Ltbp2
834,Ltbp4
835,Lum
836,Lurap1l
837,Ly6a
838,Ly6c1
839,Ly6d
840,Ly6e
841,Ly6h
842,Ly6k
843,Lypd1
844,Lypd2
845,Lyz2
846,M1ap
847,Maf
848,Mafb
849,Maff
850,Mamdc2
851,Man1a
852,Maob
853,Map1b
854,Matn1
855,Matn2
856,Matn3
857,Matn4
858,Mcam
859,Mcm3
860,Mcm5
861,Mcm6
862,Mdk
863,Mecom
864,Medag
865,Mef2c
866,Meg3
867,Megf6
868,Meis2
869,Meox1
870,Meox2
871,Mepe
872,Mest
873,Metrnl
874,Mfap4
875,Mfap5
876,Mfi2
877,Mgll
878,Mgp
879,Mgst1
880,Mgst3
881,Mia
882,Milr1
883,Mirg
884,Mis18bp1
885,Mki67
886,Mkx
887,Mlf1
888,Mlip
889,Mme
890,Mmp11
891,Mmp13
892,Mmp16
893,Mmp3
894,Mmp9
895,Mn1
896,Mndal
897,Moxd1
898,Mpped2
899,Mrap
900,Ms4a4d
901,Msc
902,Msi2
903,Msmo1
904,Msx1
905,Msx2
906,Mt1
907,Mt2
908,Mt3
909,Mustn1
910,Mxd1
911,Mxd3
912,Myc
913,Myh11
914,Myl1
915,Myl9
916,Mylip
917,Mylk
918,Myo1b
919,Myoc
920,Naalad2
921,Nav2
922,Nav3
923,Nbl1
924,Ncald
925,Ncam1
926,Ncmap
927,Ndnf
928,Ndrg1
929,Ndrg2
930,Ndufa4l2
931,Neat1
932,Nedd9
933,Nefl
934,Nefm
935,Negr1
936,Nell2
937,Nes
938,Net1
939,Nexn
940,Nfatc1
941,Nfatc2
942,Nfia
943,Nfil3
944,Nfkbia
945,Nfkbiz
946,Ngf
947,Ngfr
948,Ngp
949,Nhs
950,Nid1
951,Nid2
952,Nim1k
953,Nkd1
954,Nkd2
955,Nnat
956,Nnmt
957,Nog
958,Nol4l
959,Notch2
960,Notch3
961,Notum
962,Nov
963,Npnt
964,Nppc
965,Npr3
966,Npy
967,Nr2f1
968,Nr2f2
969,Nr4a1
970,Nr4a2
971,Nr4a3
972,Nrarp
973,Nrgn
974,Nrk
975,Nrn1
976,Nrp1
977,Nrp2
978,Nrtn
979,Nrxn1
980,Nsg1
981,Nt5e
982,Ntf3
983,Ntm
984,Ntn1
985,Ntng1
986,Ntrk2
987,Ntrk3
988,Nuak1
989,Nuf2
990,Nupr1
991,Nusap1
992,Oasl2
993,Ogn
994,Olfml2a
995,Olfml2b
996,Olfml3
997,Olfr558
998,Omd
999,Ooep
1000,Opcml
1001,Osmr
1002,Osr1
1003,Osr2
1004,Ostn
1005,Otor
1006,Otud1
1007,P2ry14
1008,P3h2
1009,P4ha2
1010,Palld
1011,Palmd
1012,Pam
1013,Pamr1
1014,Pantr1
1015,Panx3
1016,Pappa
1017,Pappa2
1018,Papss2
1019,Pard6g
1020,Parm1
1021,Parp14
1022,Pax1
1023,Pbk
1024,Pcdh10
1025,Pcdh11x
1026,Pcdh17
1027,Pcdh19
1028,Pcdh7
1029,Pcdh9
1030,Pcdhb7
1031,Pcdhb9
1032,Pclaf
1033,Pcolce2
1034,Pcp4
1035,Pcp4l1
1036,Pcsk5
1037,Pcsk6
1038,Pde3a
1039,Pde4b
1040,Pdgfa
1041,Pdgfc
1042,Pdgfra
1043,Pdgfrb
1044,Pdgfrl
1045,Pdk4
1046,Pdlim1
1047,Pdlim2
1048,Pdlim3
1049,Pdpn
1050,Pdzd2
1051,Pdzrn4
1052,Pecam1
1053,Peg10
1054,Peg3
1055,Penk
1056,Per3
1057,Perp
1058,Pf4
1059,Pgf
1060,Phactr1
1061,Phactr2
1062,Phex
1063,Phlda1
1064,Phlda2
1065,Phlda3
1066,Phldb2
1067,Pi15
1068,Pi16
1069,Pid1
1070,Piezo2
1071,Pik3ip1
1072,Pik3r1
1073,Pim1
1074,Pim3
1075,Pitx1
1076,Pitx2
1077,Pkdcc
1078,Pla1a
1079,Pla2g16
1080,Pla2g5
1081,Plac8
1082,Plagl1
1083,Plat
1084,Plaur
1085,Plce1
1086,Plk1
1087,Plk2
1088,Plod2
1089,Plpp1
1090,Plpp3
1091,Pltp
1092,Plxdc2
1093,Plxna2
1094,Pmp22
1095,Podn
1096,Podnl1
1097,Postn
1098,Pou2f2
1099,Pou3f1
1100,Pou3f3
1101,Ppa1
1102,Pparg
1103,Ppbp
1104,Ppfibp2
1105,Ppm1n
1106,Ppp1r14a
1107,Ppp1r15a
1108,Ppp1r3c
1109,Ppp2r2b
1110,Prc1
1111,Prcp
1112,Prelp
1113,Prg4
1114,Prkg2
1115,Prlr
1116,Prnp
1117,Procr
1118,Prr16
1119,Prrx2
1120,Prss12
1121,Prss23
1122,Prss35
1123,Psmb8
1124,Ptch1
1125,Ptcra
1126,Ptger4
1127,Ptgfr
1128,Ptgis
1129,Ptgs2
1130,Pth1r
1131,Pthlh
1132,Ptn
1133,Ptpn18
1134,Ptprd
1135,Ptprz1
1136,Ptx3
1137,Pxdc1
1138,Qpct
1139,R3hdml
1140,RP23-457J22.1
1141,Rab20
1142,Rab3il1
1143,Rac2
1144,Racgap1
1145,Rad51ap1
1146,Ralgps2
1147,Ramp1
1148,Ramp2
1149,Rapgef4
1150,Raph1
1151,Rarb
1152,Rarres2
1153,Rasd1
1154,Rasgrp2
1155,Rasl11a
1156,Rasl11b
1157,Rassf2
1158,Rbms3
1159,Rbp1
1160,Rbp4
1161,Rbpms
1162,Rcan1
1163,Rdh10
1164,Rerg
1165,Retn
1166,Retnlg
1167,Rgcc
1168,Rgs16
1169,Rgs2
1170,Rgs3
1171,Rgs4
1172,Rgs5
1173,Rgs7bp
1174,Rhob
1175,Rhoj
1176,Rmnd1
1177,Rnd3
1178,Robo2
1179,Rora
1180,Rpgrip1
1181,Rpl39l
1182,Rprm
1183,Rrad
1184,Rrm1
1185,Rrm2
1186,Rsad2
1187,Rspo1
1188,Rspo2
1189,Rspo3
1190,Rtp4
1191,Runx1
1192,Runx1t1
1193,Runx2
1194,Runx3
1195,S100a1
1196,S100a16
1197,S100a4
1198,S100a6
1199,S100a8
1200,S100a9
1201,S100b
1202,S1pr1
1203,S1pr3
1204,Saa3
1205,Sat1
1206,Satb2
1207,Sbspon
1208,Scara3
1209,Scara5
1210,Scd1
1211,Scin
1212,Scrg1
1213,Scube2
1214,Scx
1215,Sdc4
1216,Sdk2
1217,Sdpr
1218,Sema3a
1219,Sema3b
1220,Sema3c
1221,Sema3d
1222,Sema3e
1223,Sema5a
1224,Sema6a
1225,Sema6d
1226,Sema7a
1227,Sepp1
1228,Sept4
1229,Serinc5
1230,Serpina12
1231,Serpina3f
1232,Serpina3g
1233,Serpina3n
1234,Serpinb1a
1235,Serpine1
1236,Serpine2
1237,Serpinf1
1238,Serping1
1239,Sesn3
1240,Sfn
1241,Sfrp1
1242,Sfrp2
1243,Sfrp4
1244,Sfrp5
1245,Sgk1
1246,Sgms2
1247,Shisa2
1248,Shisa3
1249,Shisa4
1250,Shox2
1251,Sik1
1252,Six1
1253,Six2
1254,Skil
1255,Slc12a2
1256,Slc13a5
1257,Slc16a2
1258,Slc16a3
1259,Slc1a3
1260,Slc20a1
1261,Slc20a2
1262,Slc26a2
1263,Slc26a7
1264,Slc2a3
1265,Slc36a2
1266,Slc39a1
1267,Slc40a1
1268,Slc4a1
1269,Slc5a3
1270,Slc6a6
1271,Slc7a11
1272,Slc8a3
1273,Slc9a3r1
1274,Slco2a1
1275,Slfn5
1276,Slit2
1277,Slit3
1278,Slitrk6
1279,Slpi
1280,Smagp
1281,Smc2
1282,Smc4
1283,Smim1
1284,Smim5
1285,Smoc1
1286,Smoc2
1287,Smpd3
1288,Smpdl3a
1289,Snai1
1290,Snai2
1291,Snca
1292,Sncg
1293,Sned1
1294,Snhg11
1295,Socs1
1296,Socs2
1297,Socs3
1298,Sod3
1299,Sorbs2
1300,Sost
1301,Sostdc1
1302,Sowahc
1303,Sox11
1304,Sox4
1305,Sox5
1306,Sox6
1307,Sox9
1308,Sp7
1309,Sparcl1
1310,Spc24
1311,Spc25
1312,Sphk1
1313,Spint2
1314,Spock3
1315,Spon1
1316,Spon2
1317,Spp1
1318,Spry1
1319,Spry2
1320,Spry4
1321,Spsb1
1322,Sqle
1323,Srgn
1324,Srpx2
1325,Srxn1
1326,Ssc5d
1327,St3gal6
1328,Stc1
1329,Steap4
1330,Stfa2l1
1331,Stk26
1332,Stmn1
1333,Stmn2
1334,Stmn4
1335,Sulf1
1336,Sulf2
1337,Sult1a1
1338,Sult5a1
1339,Susd5
1340,Svep1
1341,Svil
1342,Syne2
1343,Synm
1344,Synpo
1345,Syt8
1346,Tac1
1347,Tacc3
1348,Tagln
1349,Tagln2
1350,Tbx18
1351,Tbx2
1352,Tc2n
1353,Tcea3
1354,Tcf15
1355,Tcf19
1356,Tcp11l2
1357,Tek
1358,Tenm3
1359,Tenm4
1360,Tesc
1361,Tfap2b
1362,Tfpi
1363,Tgfb1
1364,Tgfb2
1365,Tgfb3
1366,Tgfbi
1367,Tgfbr3
1368,Tgif1
1369,Tgm2
1370,Thbd
1371,Thbs1
1372,Thbs2
1373,Thbs3
1374,Thbs4
1375,Thsd4
1376,Thsd7a
1377,Thy1
1378,Tifa
1379,Timp1
1380,Timp3
1381,Timp4
1382,Tinagl1
1383,Tiparp
1384,Tk1
1385,Tle2
1386,Tm4sf1
1387,Tmeff2
1388,Tmem100
1389,Tmem119
1390,Tmem158
1391,Tmem176a
1392,Tmem176b
1393,Tmem178
1394,Tmem26
1395,Tmem37
1396,Tmem86a
1397,Tmpo
1398,Tmtc2
1399,Tmx4
1400,Tnc
1401,Tnfaip2
1402,Tnfaip3
1403,Tnfaip6
1404,Tnfrsf11b
1405,Tnfrsf12a
1406,Tnfrsf19
1407,Tnfsf11
1408,Tnfsf9
1409,Tnmd
1410,Tnn
1411,Tnni2
1412,Tnxb
1413,Tob1
1414,Top2a
1415,Tox
1416,Tpbg
1417,Tpm2
1418,Tppp3
1419,Tpx2
1420,Trabd2b
1421,Trf
1422,Trib1
1423,Trib2
1424,Tril
1425,Trim47
1426,Trp53i11
1427,Trps1
1428,Trpv4
1429,Tsc22d3
1430,Tshz2
1431,Tspan11
1432,Tspan13
1433,Tspan15
1434,Tspan2
1435,Tspan4
1436,Tspan7
1437,Tspan8
1438,Tspo
1439,Ttc21a
1440,Tuba1c
1441,Tubb2a
1442,Tubb2b
1443,Tubb3
1444,Tubb4b
1445,Tubb6
1446,Tusc5
1447,Twist1
1448,Twist2
1449,Txnip
1450,Tyms
1451,Tyrobp
1452,Uba7
1453,Ube2c
1454,Uchl1
1455,Ucma
1456,Ucp2
1457,Ugdh
1458,Uhrf1
1459,Unc5b
1460,Unc5c
1461,Ung
1462,Usp53
1463,Uvssa
1464,Vcam1
1465,Vcan
1466,Vdr
1467,Vegfa
1468,Vegfc
1469,Vit
1470,Vldlr
1471,Vpreb3
1472,Vstm4
1473,Vtn
1474,Wdr86
1475,Wfdc1
1476,Wfdc2
1477,Wfikkn2
1478,Wif1
1479,Wisp1
1480,Wisp2
1481,Wnt11
1482,Wnt16
1483,Wnt2
1484,Wnt4
1485,Wwp2
1486,Xaf1
1487,Xist
1488,Xlr
1489,Xylt1
1490,Zbtb20
1491,Zcchc5
1492,Zdbf2
1493,Zeb2
1494,Zfhx3
1495,Zfhx4
1496,Zfp36
1497,Zfp36l2
1498,Zfp503
1499,a
