"","x"
"509","Dpep1"
"510","Dpp4"
"511","Dpt"
"512","Dpysl3"
"513","Dqx1"
"514","Dtl"
"515","Dusp1"
"516","Dusp10"
"517","Dusp14"
"518","Dusp2"
"519","Dusp3"
"520","Dusp5"
"521","Dusp6"
"522","E130114P18Rik"
"523","E330013P04Rik"
"524","Ebf1"
"525","Ebf2"
"526","Ebf3"
"527","Ece1"
"528","Ecm1"
"529","Ecm2"
"530","Edar"
"531","Edil3"
"532","Edn1"
"533","Ednra"
"534","Eepd1"
"535","Efemp1"
"536","Efhd1"
"537","Efna5"
"538","Efnb2"
"539","Egfl6"
"540","Egfl7"
"541","Egfr"
"542","Egr1"
"543","Egr2"
"544","Egr4"
"545","Ehd3"
"546","Eif2s3y"
"547","Ell2"
"548","Elmo1"
"549","Eln"
"550","Elovl4"
"551","Emb"
"552","Emcn"
"553","Emilin2"
"554","Emp1"
"555","Emx2"
"556","En1"
"557","Enc1"
"558","Eng"
"559","Enho"
"560","Eno3"
"561","Enpep"
"562","Enpp1"
"563","Enpp2"
"564","Enpp5"
"565","Enpp6"
"566","Entpd2"
"567","Entpd3"
"568","Epas1"
"569","Epb41l4b"
"570","Epcam"
"571","Epdr1"
"572","Epha3"
"573","Epha4"
"574","Epha5"
"575","Epha7"
"576","Eps8l2"
"577","Epyc"
"578","Erg"
"579","Errfi1"
"580","Esam"
"581","Esco2"
"582","Esm1"
"583","Esr1"
"584","Ets1"
"585","Ets2"
"586","Etv1"
"587","Etv5"
"588","Eva1a"
"589","Eva1c"
"590","Eya1"
"591","Eya2"
"592","Ezr"
"593","F13a1"
"594","F2r"
"595","F3"
"596","F5"
"597","F830016B08Rik"
"598","Fabp3"
"599","Fabp4"
"600","Fabp5"
"601","Fabp7"
"602","Fam101a"
"603","Fam102b"
"604","Fam107b"
"605","Fam111a"
"606","Fam129a"
"607","Fam13a"
"608","Fam174b"
"609","Fam180a"
"610","Fam181b"
"611","Fam198b"
"612","Fam19a5"
"613","Fam20a"
"614","Fam20c"
"615","Fam212a"
"616","Fam213a"
"617","Fam43a"
"618","Fam46a"
"619","Fam64a"
"620","Fam69a"
"621","Fam71a"
"622","Fam78b"
"623","Fam89a"
"624","Fap"
"625","Fat3"
"626","Fat4"
"627","Fblim1"
"628","Fbln1"
"629","Fbln2"
"630","Fbln5"
"631","Fbln7"
"632","Fbn1"
"633","Fbn2"
"634","Fbxo32"
"635","Fbxo5"
"636","Fcer1g"
"637","Fdft1"
"638","Fdps"
"639","Fez1"
"640","Ffar4"
"641","Fgd4"
"642","Fgd6"
"643","Fgf18"
"644","Fgf7"
"645","Fgf9"
"646","Fgfr2"
"647","Fgfr3"
"648","Fgfrl1"
"649","Fgl2"
"650","Fhl1"
"651","Fhl2"
"652","Fibin"
"653","Fign"
"654","Filip1l"
"655","Fjx1"
"656","Fkbp11"
"657","Flnc"
"658","Flrt2"
"659","Flrt3"
"660","Flt1"
"661","Fmo1"
"662","Fmo2"
"663","Fmod"
"664","Fn1"
"665","Fndc1"
"666","Folr2"
"667","Fos"
"668","Fosb"
"669","Fosl1"
"670","Fosl2"
"671","Foxa3"
"672","Foxc1"
"673","Foxc2"
"674","Foxd1"
"675","Foxo3"
"676","Foxp1"
"677","Foxp2"
"678","Foxq1"
"679","Foxs1"
"680","Frmd4a"
"681","Frmd4b"
"682","Frmd6"
"683","Fry"
"684","Frzb"
"685","Fst"
"686","Fstl1"
"687","Fxyd2"
"688","Fxyd3"
"689","Fxyd5"
"690","Fxyd6"
"691","Fxyd7"
"692","Fyn"
"693","Fzd1"
"694","Fzd4"
"695","Fzd5"
"696","Fzd8"
"697","Fzd9"
"698","G0s2"
"699","Gadd45a"
"700","Gadd45b"
"701","Gadd45g"
"702","Gal"
"703","Gale"
"704","Galnt16"
"705","Galr2"
"706","Gap43"
"707","Gas1"
"708","Gas2"
"709","Gas6"
"710","Gas7"
"711","Gbp2"
"712","Gbp3"
"713","Gbp5"
"714","Gbp7"
"715","Gclc"
"716","Gcnt2"
"717","Gdf10"
"718","Gdf15"
"719","Gdf5"
"720","Gdf6"
"721","Gdpd2"
"722","Gdpd3"
"723","Gem"
"724","Gfod2"
"725","Gfpt2"
"726","Gfra1"
"727","Gfra2"
"728","Ggt5"
"729","Ghr"
"730","Gimap6"
"731","Gja1"
"732","Gja4"
"733","Gjb2"
"734","Gjc1"
"735","Glipr2"
"736","Glrx"
"737","Glul"
"738","Gm10600"
"739","Gm11713"
"740","Gm12216"
"741","Gm12840"
"742","Gm13075"
"743","Gm13889"
"744","Gm14964"
"745","Gm15222"
"746","Gm15261"
"747","Gm16685"
"748","Gm17056"
"749","Gm17455"
"750","Gm26523"
"751","Gm26532"
"752","Gm266"
"753","Gm26632"
"754","Gm26648"
"755","Gm26724"
"756","Gm26735"
"757","Gm26737"
"758","Gm26771"
"759","Gm26772"
"760","Gm26802"
"761","Gm26870"
"762","Gm26909"
"763","Gm26917"
"764","Gm2694"
"765","Gm2a"
"766","Gm36266"
"767","Gm43409"
"768","Gm4841"
"769","Gm4951"
"770","Gm525"
"771","Gm5483"
"772","Gmfg"
"773","Gmnn"
"774","Gnai1"
"775","Gnao1"
"776","Gng11"
"777","Gpc1"
"778","Gpc3"
"779","Gpc6"
"780","Gpha2"
"781","Gpm6b"
"782","Gpnmb"
"783","Gpr171"
"784","Gpr50"
"785","Gpr88"
"786","Gprc5a"
"787","Gprc5c"
"788","Gprin3"
"789","Gpsm3"
"790","Gpx3"
"791","Grasp"
"792","Grb14"
"793","Grem1"
"794","Grem2"
"795","Gria1"
"796","Gria3"
"797","Grina"
"798","Grp"
"799","Gsc"
"800","Gsn"
"801","Gsta4"
"802","Gstm1"
"803","Gstm2"
"804","Gstt1"
"805","Guca1a"
"806","Gucy1a3"
"807","Gulp1"
"808","Gxylt2"
"809","Gypa"
"810","Gzme"
"811","H19"
"812","H1f0"
"813","H1fx"
"814","H2-Aa"
"815","H2-Ab1"
"816","H2-D1"
"817","H2-DMa"
"818","H2-DMb1"
"819","H2-K1"
"820","H2-Q10"
"821","H2-Q4"
"822","H2-Q6"
"823","H2-Q7"
"824","H2-T23"
"825","H2afx"
"826","Hacd4"
"827","Hand2"
"828","Hapln1"
"829","Has1"
"830","Has2"
"831","Hcar2"
"832","Hdac7"
"833","Heg1"
"834","Hells"
"835","Heph"
"836","Hes1"
"837","Hexim1"
"838","Hey1"
"839","Heyl"
"840","Hgf"
"841","Hhip"
"842","Hic1"
"843","Higd1b"
"844","Hilpda"
"845","Hist1h1a"
"846","Hist1h1b"
"847","Hist1h1c"
"848","Hist1h1d"
"849","Hist1h1e"
"850","Hist1h2ae"
"851","Hist1h2ap"
"852","Hist1h2bc"
"853","Hist1h3c"
"854","Hist1h4d"
"855","Hist1h4i"
"856","Hist3h2a"
"857","Hist3h2ba"
"858","Hist4h4"
"859","Hivep2"
"860","Hivep3"
"861","Hk2"
"862","Hlf"
"863","Hmcn1"
"864","Hmga2"
"865","Hmgb2"
"866","Hmgcll1"
"867","Hmgcr"
"868","Hmgcs1"
"869","Hmgcs2"
"870","Hmgn5"
"871","Hmmr"
"872","Hmox1"
"873","Hopx"
"874","Hoxa9"
"875","Hoxb2"
"876","Hoxb4"
"877","Hoxd9"
"878","Hp"
"879","Hpgd"
"880","Hrc"
"881","Hrct1"
"882","Hs3st1"
"883","Hs3st3a1"
"884","Hs3st3b1"
"885","Hs3st6"
"886","Hs6st2"
"887","Hsd11b1"
"888","Hsd11b2"
"889","Hsf2"
"890","Hsf2bp"
"891","Hspa1a"
"892","Hspa1b"
"893","Hspb1"
"894","Hspb8"
"895","Htra1"
"896","Htra3"
"897","Hvcn1"
"898","Ibsp"
"899","Icam1"
"900","Id1"
"901","Id2"
"902","Id4"
"903","Idi1"
"904","Ier2"
"905","Ier3"
"906","Ier5"
"907","Ier5l"
"908","Ifi203"
"909","Ifi204"
"910","Ifi27l2a"
"911","Ifi44"
"912","Ifi47"
"913","Ifih1"
"914","Ifit1"
"915","Ifit3"
"916","Ifitm1"
"917","Ifitm3"
"918","Ifitm5"
"919","Ifrd1"
"920","Igf1"
"921","Igf2"
"922","Igfbp2"
"923","Igfbp3"
"924","Igfbp4"
"925","Igfbp5"
"926","Igfbp6"
"927","Igfbp7"
"928","Igsf10"
"929","Igsf3"
"930","Igtp"
"931","Ihh"
"932","Iigp1"
"933","Ikzf2"
"934","Il11"
"935","Il11ra1"
"936","Il12a"
"937","Il15"
"938","Il17b"
"939","Il17d"
"940","Il17ra"
"941","Il1b"
"942","Il1r1"
"943","Il1rl1"
"944","Il1rn"
"945","Il33"
"946","Il34"
"947","Il4ra"
"948","Il6"
"949","Il7"
"950","Ildr2"
"951","Incenp"
"952","Inhba"
"953","Insc"
"954","Insig1"
"955","Irf1"
"956","Irf7"
"957","Irf8"
"958","Irgm1"
"959","Irgm2"
"960","Irs2"
"961","Irx1"
"962","Irx3"
"963","Irx5"
"964","Isg15"
"965","Islr"
"966","Ism1"
"967","Itga1"
"968","Itga10"
"969","Itga11"
"970","Itga6"
"971","Itga7"
"972","Itga8"
"973","Itga9"
"974","Itgb3"
"975","Itgbl1"
"976","Itih5"
"977","Itm2a"
"978","Itpr2"
"979","Jag1"
"980","Jam2"
"981","Jdp2"
"982","Jun"
"983","Junb"
"984","Jup"
"985","Kalrn"
"986","Kank1"
"987","Kazald1"
"988","Kazn"
"989","Kbtbd11"
"990","Kcne4"
"991","Kcnj2"
"992","Kcnj8"
"993","Kcnk1"
"994","Kcnk2"
"995","Kcnk3"
"996","Kcnma1"
"997","Kcnn4"
"998","Kcnq1ot1"
"999","Kcnq3"
"1000","Kctd12"
"1001","Kdm6b"
"1002","Kdm7a"
"1003","Kdr"
"1004","Kera"
"1005","Khdrbs2"
"1006","Kif11"
"1007","Kif15"
"1008","Kif20a"
"1009","Kif20b"
"1010","Kif22"
"1011","Kif23"
"1012","Kif2c"
"1013","Kit"
"1014","Kitl"
"1015","Klf10"
"1016","Klf2"
"1017","Klf3"
"1018","Klf4"
"1019","Klf5"
