,0
686,Fxyd2
687,Fxyd3
688,Fxyd5
689,Fxyd6
690,Fxyd7
691,Fyn
692,Fzd1
693,Fzd4
694,Fzd5
695,Fzd8
696,Fzd9
697,G0s2
698,Gadd45a
699,Gadd45b
700,Gadd45g
701,Gal
702,Gale
703,Galnt16
704,Galr2
705,Gap43
706,Gas1
707,Gas2
708,Gas6
709,Gas7
710,Gbp2
711,Gbp3
712,Gbp5
713,Gbp7
714,Gclc
715,Gcnt2
716,Gdf10
717,Gdf15
718,Gdf5
719,Gdf6
720,Gdpd2
721,Gdpd3
722,Gem
723,Gfod2
724,Gfpt2
725,Gfra1
726,Gfra2
727,Ggt5
728,Ghr
729,Gimap6
730,Gja1
731,Gja4
732,Gjb2
733,Gjc1
734,Glipr2
735,Glrx
736,Glul
737,Gm10600
738,Gm11713
739,Gm12216
740,Gm12840
741,Gm13075
742,Gm13889
743,Gm14964
744,Gm15222
745,Gm15261
746,Gm16685
747,Gm17056
748,Gm17455
749,Gm26523
750,Gm26532
751,Gm266
752,Gm26632
753,Gm26648
754,Gm26724
755,Gm26735
756,Gm26737
757,Gm26771
758,Gm26772
759,Gm26802
760,Gm26870
761,Gm26909
762,Gm26917
763,Gm2694
764,Gm2a
765,Gm36266
766,Gm43409
767,Gm4841
768,Gm4951
769,Gm525
770,Gm5483
771,Gmfg
772,Gmnn
773,Gnai1
774,Gnao1
775,Gng11
776,Gpc1
777,Gpc3
778,Gpc6
779,Gpha2
780,Gpm6b
781,Gpnmb
782,Gpr171
783,Gpr50
784,Gpr88
785,Gprc5a
786,Gprc5c
787,Gprin3
788,Gpsm3
789,Gpx3
790,Grasp
791,Grb14
792,Grem1
793,Grem2
794,Gria1
795,Gria3
796,Grina
797,Grp
798,Gsc
799,Gsn
800,Gsta4
801,Gstm1
802,Gstm2
803,Gstt1
804,Guca1a
805,Gucy1a3
806,Gulp1
807,Gxylt2
808,Gypa
809,Gzme
810,H19
811,H1f0
812,H1fx
813,H2-Aa
814,H2-Ab1
815,H2-D1
816,H2-DMa
817,H2-DMb1
818,H2-K1
819,H2-Q10
820,H2-Q4
821,H2-Q6
822,H2-Q7
823,H2-T23
824,H2afx
825,Hacd4
826,Hand2
827,Hapln1
828,Has1
829,Has2
830,Hba-a1
831,Hba-a2
832,Hbb-bs
833,Hbb-bt
834,Hbegf
835,Hcar2
836,Hdac7
837,Heg1
838,Hells
839,Heph
840,Hes1
841,Hexim1
842,Hey1
843,Heyl
844,Hgf
845,Hhip
846,Hic1
847,Higd1b
848,Hilpda
849,Hist1h1a
850,Hist1h1b
851,Hist1h1c
852,Hist1h1d
853,Hist1h1e
854,Hist1h2ae
855,Hist1h2ap
856,Hist1h2bc
857,Hist1h3c
858,Hist1h4d
859,Hist1h4i
860,Hist3h2a
861,Hist3h2ba
862,Hist4h4
863,Hivep2
864,Hivep3
865,Hk2
866,Hlf
867,Hmcn1
868,Hmga2
869,Hmgb2
870,Hmgcll1
871,Hmgcr
872,Hmgcs1
873,Hmgcs2
874,Hmgn5
875,Hmmr
876,Hmox1
877,Hopx
878,Hoxa9
879,Hoxb2
880,Hoxb4
881,Hoxd9
882,Hp
883,Hpgd
884,Hrc
885,Hrct1
886,Hs3st1
887,Hs3st3a1
888,Hs3st3b1
889,Hs3st6
890,Hs6st2
891,Hsd11b1
892,Hsd11b2
893,Hsf2
894,Hsf2bp
895,Hspa1a
896,Hspa1b
897,Hspb1
898,Hspb8
899,Htra1
900,Htra3
901,Hvcn1
902,Ibsp
903,Icam1
904,Id1
905,Id2
906,Id4
907,Idi1
908,Ier2
909,Ier3
910,Ier5
911,Ier5l
912,Ifi203
913,Ifi204
914,Ifi27l2a
915,Ifi44
916,Ifi47
917,Ifih1
918,Ifit1
919,Ifit3
920,Ifitm1
921,Ifitm3
922,Ifitm5
923,Ifrd1
924,Igf1
925,Igf2
926,Igfbp2
927,Igfbp3
928,Igfbp4
929,Igfbp5
930,Igfbp6
931,Igfbp7
932,Igsf10
933,Igsf3
934,Igtp
935,Ihh
936,Iigp1
937,Ikzf2
938,Il11
939,Il11ra1
940,Il12a
941,Il15
942,Il17b
943,Il17d
944,Il17ra
945,Il1b
946,Il1r1
947,Il1rl1
948,Il1rn
949,Il33
950,Il34
951,Il4ra
952,Il6
953,Il7
954,Ildr2
955,Incenp
956,Inhba
957,Insc
958,Insig1
959,Irf1
960,Irf7
961,Irf8
962,Irgm1
963,Irgm2
964,Irs2
965,Irx1
966,Irx3
967,Irx5
968,Isg15
969,Islr
970,Ism1
971,Itga1
972,Itga10
973,Itga11
974,Itga6
975,Itga7
976,Itga8
977,Itga9
978,Itgb3
979,Itgbl1
980,Itih5
981,Itm2a
982,Itpr2
983,Jag1
984,Jam2
985,Jdp2
986,Jun
987,Junb
988,Jup
989,Kalrn
990,Kank1
991,Kazald1
992,Kazn
993,Kbtbd11
994,Kcne4
995,Kcnj2
996,Kcnj8
997,Kcnk1
998,Kcnk2
999,Kcnk3
1000,Kcnma1
1001,Kcnn4
1002,Kcnq1ot1
1003,Kcnq3
1004,Kctd12
1005,Kdm6b
